date,driver_number,lap_number,meeting_key,pit_duration,session_key
2023-06-02 11:33:46.930000+00:00,14,3,1211,35.3,9095
2023-06-02 11:35:42.475000+00:00,18,4,1211,40.8,9095
2023-06-02 11:36:30.849000+00:00,21,3,1211,155.2,9095
2023-06-02 11:37:01.583000+00:00,2,2,1211,277.0,9095
2023-06-02 11:37:14.911000+00:00,16,5,1211,27.6,9095
2023-06-02 11:38:29.675000+00:00,81,2,1211,343.6,9095
2023-06-02 11:38:45.487000+00:00,11,6,1211,24.9,9095
2023-06-02 11:38:52.971000+00:00,20,6,1211,47.4,9095
2023-06-02 11:39:12.221000+00:00,4,2,1211,381.5,9095
2023-06-02 11:39:27.565000+00:00,1,6,1211,23.5,9095
2023-06-02 11:40:30.892000+00:00,27,6,1211,40.8,9095
2023-06-02 11:42:01.109000+00:00,77,3,1211,517.4,9095
2023-06-02 11:42:31.499000+00:00,18,5,1211,298.0,9095
2023-06-02 11:44:30.700000+00:00,23,9,1211,25.1,9095
2023-06-02 11:44:35.747000+00:00,24,3,1211,623.1,9095
2023-06-02 11:45:19.886000+00:00,22,8,1211,245.8,9095
2023-06-02 11:46:04.573000+00:00,16,11,1211,23.1,9095
2023-06-02 11:46:46.322000+00:00,55,12,1211,23.0,9095
2023-06-02 11:47:17.353000+00:00,21,5,1211,439.9,9095
2023-06-02 11:47:42.243000+00:00,2,9,1211,24.9,9095
2023-06-02 11:48:07.633000+00:00,4,3,1211,442.9,9095
2023-06-02 11:48:09.118000+00:00,18,8,1211,37.9,9095
2023-06-02 11:48:16.852000+00:00,63,9,1211,381.4,9095
2023-06-02 11:48:30.789000+00:00,81,3,1211,493.4,9095
2023-06-02 11:49:32.132000+00:00,44,9,1211,406.5,9095
2023-06-02 11:50:06.022000+00:00,14,6,1211,691.0,9095
2023-06-02 11:50:55.709000+00:00,10,8,1211,621.4,9095
2023-06-02 11:51:06.771000+00:00,31,10,1211,357.9,9095
2023-06-02 11:52:23.176000+00:00,21,8,1211,31.1,9095
2023-06-02 11:53:37.034000+00:00,18,11,1211,34.1,9095
2023-06-02 11:54:55.704000+00:00,16,16,1211,16.7,9095
2023-06-02 11:57:15.577000+00:00,11,13,1211,432.8,9095
2023-06-02 11:58:09.107000+00:00,1,12,1211,525.5,9095
2023-06-02 11:58:39.294000+00:00,18,12,1211,189.2,9095
2023-06-02 11:59:17.465000+00:00,20,11,1211,796.1,9095
2023-06-02 12:00:14.823000+00:00,27,11,1211,750.0,9095
2023-06-02 12:03:58.460000+00:00,22,13,1211,657.3,9095
2023-06-02 12:04:07.147000+00:00,63,17,1211,268.9,9095
2023-06-02 12:05:15.099000+00:00,23,16,1211,578.4,9095
2023-06-02 12:06:24.301000+00:00,44,17,1211,333.2,9095
2023-06-02 12:07:19.597000+00:00,2,16,1211,544.3,9095
2023-06-02 12:07:29.378000+00:00,77,12,1211,702.5,9095
2023-06-02 12:07:32.425000+00:00,24,14,1211,376.1,9095
2023-06-02 12:09:03.970000+00:00,1,15,1211,387.1,9095
2023-06-02 12:09:09.782000+00:00,81,10,1211,575.4,9095
2023-06-02 12:10:35.718000+00:00,23,19,1211,26.8,9095
2023-06-02 12:10:47.171000+00:00,4,10,1211,675.0,9095
2023-06-02 12:11:24.014000+00:00,55,17,1211,999.9,9095
2023-06-02 12:12:49.669000+00:00,24,17,1211,18.0,9095
2023-06-02 12:13:11.684000+00:00,16,19,1211,797.7,9095
2023-06-02 12:13:16.247000+00:00,18,13,1211,762.2,9095
2023-06-02 12:13:47.074000+00:00,11,19,1211,427.8,9095
2023-06-02 12:13:50.949000+00:00,21,15,1211,649.6,9095
2023-06-02 12:17:24.445000+00:00,81,15,1211,22.3,9095
2023-06-02 12:18:09.913000+00:00,31,19,1211,714.0,9095
2023-06-02 12:18:33.444000+00:00,10,18,1211,719.2,9095
2023-06-02 12:18:51.600000+00:00,27,18,1211,426.2,9095
2023-06-02 12:18:54.272000+00:00,22,19,1211,315.9,9095
2023-06-02 12:19:07.397000+00:00,63,24,1211,341.2,9095
2023-06-02 12:19:17.850000+00:00,4,15,1211,24.9,9095
2023-06-02 12:21:20.441000+00:00,2,22,1211,268.7,9095
2023-06-02 12:21:26.207000+00:00,18,18,1211,41.2,9095
2023-06-02 12:21:40.738000+00:00,14,18,1211,801.3,9095
2023-06-02 12:23:01.221000+00:00,20,17,1211,803.8,9095
2023-06-02 12:23:11.736000+00:00,23,22,1211,455.6,9095
2023-06-02 12:23:33.626000+00:00,55,21,1211,354.0,9095
2023-06-02 12:23:35.657000+00:00,44,24,1211,429.5,9095
2023-06-02 12:23:42.314000+00:00,77,18,1211,389.2,9095
2023-06-02 12:23:54.001000+00:00,10,21,1211,16.6,9095
2023-06-02 12:24:19.438000+00:00,63,27,1211,24.9,9095
2023-06-02 12:24:50.859000+00:00,21,22,1211,19.9,9095
2023-06-02 12:25:08.031000+00:00,16,23,1211,331.4,9095
2023-06-02 12:25:39.561000+00:00,24,20,1211,469.5,9095
2023-06-02 12:28:37.699000+00:00,1,29,1211,22.7,9095
2023-06-02 12:29:31.417000+00:00,11,30,1211,21.8,9095
2023-06-02 12:29:36.635000+00:00,63,30,1211,30.2,9095
2023-06-02 15:06:59.931000+00:00,55,4,1211,21.9,9096
2023-06-02 15:07:15.384000+00:00,16,4,1211,17.4,9096
2023-06-02 15:08:13.196000+00:00,63,5,1211,22.5,9096
2023-06-02 15:08:47.820000+00:00,14,7,1211,22.6,9096
2023-06-02 15:09:27.070000+00:00,44,6,1211,23.2,9096
2023-06-02 15:09:34.320000+00:00,1,6,1211,27.8,9096
2023-06-02 15:09:59.163000+00:00,11,6,1211,25.4,9096
2023-06-02 15:10:20.491000+00:00,18,7,1211,22.6,9096
