compound,driver_number,lap_end,lap_start,meeting_key,session_key,stint_number,tyre_age_at_start
MEDIUM,4,1,1,1140,7763,1,7
MEDIUM,20,1,1,1140,7763,1,10
SOFT,2,2,1,1140,7763,1,15
MEDIUM,24,2,1,1140,7763,1,10
MEDIUM,14,2,1,1140,7763,1,0
TEST_UNKNOWN,11,3,1,1140,7763,1,0
MEDIUM,16,3,1,1140,7763,1,0
MEDIUM,22,3,1,1140,7763,1,12
MEDIUM,63,3,1,1140,7763,1,11
MEDIUM,31,4,1,1140,7763,1,5
MEDIUM,81,4,1,1140,7763,1,0
TEST_UNKNOWN,55,5,1,1140,7763,1,11
TEST_UNKNOWN,1,6,1,1140,7763,1,0
MEDIUM,21,6,1,1140,7763,1,8
MEDIUM,44,6,1,1140,7763,1,6
MEDIUM,10,7,1,1140,7763,1,0
MEDIUM,27,7,1,1140,7763,1,0
MEDIUM,4,2,2,1140,7763,2,8
MEDIUM,20,8,2,1140,7763,2,0
MEDIUM,4,3,3,1140,7763,3,9
MEDIUM,14,4,3,1140,7763,2,0
MEDIUM,24,4,3,1140,7763,2,12
SOFT,2,4,3,1140,7763,2,7
MEDIUM,4,5,4,1140,7763,4,0
MEDIUM,16,5,4,1140,7763,2,0
MEDIUM,22,6,4,1140,7763,2,15
TEST_UNKNOWN,11,6,4,1140,7763,2,3
MEDIUM,63,6,4,1140,7763,2,14
SOFT,2,6,5,1140,7763,3,0
MEDIUM,31,7,5,1140,7763,2,9
MEDIUM,14,8,5,1140,7763,3,8
MEDIUM,24,11,5,1140,7763,3,9
MEDIUM,81,13,5,1140,7763,2,0
MEDIUM,55,8,6,1140,7763,2,10
MEDIUM,16,9,6,1140,7763,3,0
MEDIUM,4,14,6,1140,7763,5,0
SOFT,2,8,7,1140,7763,4,17
MEDIUM,22,9,7,1140,7763,3,18
TEST_UNKNOWN,11,9,7,1140,7763,3,6
MEDIUM,1,9,7,1140,7763,2,0
MEDIUM,44,11,7,1140,7763,2,12
MEDIUM,63,11,7,1140,7763,3,0
MEDIUM,21,21,7,1140,7763,2,0
MEDIUM,10,8,8,1140,7763,2,7
MEDIUM,31,14,8,1140,7763,3,0
MEDIUM,27,14,8,1140,7763,2,0
MEDIUM,55,10,9,1140,7763,3,0
MEDIUM,14,12,9,1140,7763,4,12
TEST_UNKNOWN,10,13,9,1140,7763,3,0
MEDIUM,20,15,9,1140,7763,3,0
MEDIUM,2,15,9,1140,7763,5,0
MEDIUM,22,10,10,1140,7763,4,0
MEDIUM,1,12,10,1140,7763,3,0
MEDIUM,16,12,10,1140,7763,4,0
TEST_UNKNOWN,11,16,10,1140,7763,4,9
MEDIUM,55,16,11,1140,7763,4,0
MEDIUM,22,27,11,1140,7763,5,0
MEDIUM,24,12,12,1140,7763,4,16
HARD,63,14,12,1140,7763,4,0
MEDIUM,44,16,12,1140,7763,3,17
MEDIUM,16,14,13,1140,7763,5,3
MEDIUM,1,15,13,1140,7763,4,0
MEDIUM,14,19,13,1140,7763,5,0
MEDIUM,24,21,13,1140,7763,5,0
TEST_UNKNOWN,10,14,14,1140,7763,4,5
MEDIUM,81,22,14,1140,7763,3,0
MEDIUM,31,17,15,1140,7763,4,0
MEDIUM,63,17,15,1140,7763,5,0
MEDIUM,16,18,15,1140,7763,6,0
SOFT,27,19,15,1140,7763,3,0
MEDIUM,10,19,15,1140,7763,5,0
MEDIUM,4,23,15,1140,7763,6,0
MEDIUM,1,18,16,1140,7763,5,3
MEDIUM,2,22,16,1140,7763,6,0
MEDIUM,20,23,16,1140,7763,4,0
TEST_UNKNOWN,11,17,17,1140,7763,5,16
MEDIUM,55,21,17,1140,7763,5,0
TEST_UNKNOWN,44,21,17,1140,7763,4,0
MEDIUM,11,18,18,1140,7763,6,0
MEDIUM,63,20,18,1140,7763,6,0
MEDIUM,31,22,18,1140,7763,5,0
MEDIUM,16,22,19,1140,7763,7,0
MEDIUM,1,30,19,1140,7763,6,0
MEDIUM,11,33,19,1140,7763,7,1
MEDIUM,10,20,20,1140,7763,6,5
MEDIUM,14,24,20,1140,7763,6,0
SOFT,27,24,20,1140,7763,4,0
MEDIUM,63,21,21,1140,7763,7,3
MEDIUM,10,25,21,1140,7763,7,0
MEDIUM,24,22,22,1140,7763,6,0
TEST_UNKNOWN,44,26,22,1140,7763,5,5
MEDIUM,55,26,22,1140,7763,6,0
MEDIUM,63,26,22,1140,7763,8,4
MEDIUM,21,28,22,1140,7763,3,0
MEDIUM,81,23,23,1140,7763,4,0
MEDIUM,16,23,23,1140,7763,8,0
MEDIUM,31,28,23,1140,7763,6,0
TEST_UNKNOWN,24,29,23,1140,7763,7,0
MEDIUM,2,29,23,1140,7763,7,0
UNKNOWN,16,27,24,1140,7763,9,0
MEDIUM,81,28,24,1140,7763,5,0
MEDIUM,20,30,24,1140,7763,5,0
MEDIUM,4,30,24,1140,7763,7,0
MEDIUM,14,29,25,1140,7763,7,0
MEDIUM,27,35,25,1140,7763,5,0
MEDIUM,10,28,26,1140,7763,8,0
MEDIUM,44,29,27,1140,7763,6,0
MEDIUM,55,40,27,1140,7763,7,0
MEDIUM,16,43,28,1140,7763,10,0
HARD,22,50,28,1140,7763,6,0
MEDIUM,81,31,29,1140,7763,6,0
MEDIUM,31,33,29,1140,7763,7,0
MEDIUM,21,36,29,1140,7763,4,7
MEDIUM,10,38,29,1140,7763,9,0
TEST_UNKNOWN,24,30,30,1140,7763,8,0
MEDIUM,14,34,30,1140,7763,8,0
MEDIUM,2,36,30,1140,7763,8,7
MEDIUM,44,37,30,1140,7763,7,0
TEST_UNKNOWN,24,33,31,1140,7763,9,8
MEDIUM,20,40,31,1140,7763,6,7
MEDIUM,4,42,31,1140,7763,8,0
MEDIUM,1,44,31,1140,7763,7,3
MEDIUM,81,34,32,1140,7763,7,0
MEDIUM,11,34,34,1140,7763,8,0
TEST_UNKNOWN,31,38,34,1140,7763,8,0
MEDIUM,24,38,34,1140,7763,10,0
MEDIUM,81,35,35,1140,7763,8,0
MEDIUM,14,50,35,1140,7763,9,5
MEDIUM,11,52,35,1140,7763,9,0
MEDIUM,27,38,36,1140,7763,6,7
MEDIUM,81,50,36,1140,7763,9,4
MEDIUM,21,42,37,1140,7763,5,0
TEST_UNKNOWN,2,43,37,1140,7763,9,0
MEDIUM,44,38,38,1140,7763,8,0
MEDIUM,24,40,39,1140,7763,11,5
MEDIUM,44,41,39,1140,7763,9,1
HARD,31,46,39,1140,7763,9,0
MEDIUM,27,48,39,1140,7763,7,7
HARD,10,52,39,1140,7763,10,0
MEDIUM,24,43,41,1140,7763,12,0
HARD,20,52,41,1140,7763,7,0
MEDIUM,55,54,41,1140,7763,8,0
MEDIUM,44,49,42,1140,7763,10,4
UNKNOWN,21,46,43,1140,7763,6,0
MEDIUM,4,52,43,1140,7763,9,9
TEST_UNKNOWN,2,50,44,1140,7763,10,0
MEDIUM,24,50,44,1140,7763,13,0
HARD,16,64,44,1140,7763,11,0
MEDIUM,1,47,45,1140,7763,8,6
HARD,31,49,47,1140,7763,10,8
MEDIUM,21,49,47,1140,7763,7,0
MEDIUM,27,65,49,1140,7763,8,7
MEDIUM,44,52,50,1140,7763,11,0
SOFT,21,52,50,1140,7763,8,0
MEDIUM,24,51,51,1140,7763,14,0
MEDIUM,2,55,51,1140,7763,11,0
MEDIUM,81,62,51,1140,7763,10,0
MEDIUM,14,64,51,1140,7763,10,5
MEDIUM,22,68,51,1140,7763,7,0
MEDIUM,24,58,52,1140,7763,15,0
TEST_UNKNOWN,10,53,53,1140,7763,11,0
SOFT,21,55,53,1140,7763,9,0
MEDIUM,44,60,53,1140,7763,12,0
MEDIUM,4,60,53,1140,7763,10,9
HARD,20,64,53,1140,7763,8,0
HARD,11,76,53,1140,7763,10,0
MEDIUM,10,54,54,1140,7763,12,0
TEST_UNKNOWN,10,55,55,1140,7763,13,7
MEDIUM,55,66,55,1140,7763,9,5
MEDIUM,21,56,56,1140,7763,10,6
MEDIUM,10,56,56,1140,7763,14,0
MEDIUM,2,58,56,1140,7763,12,0
TEST_UNKNOWN,10,59,57,1140,7763,15,8
MEDIUM,21,63,57,1140,7763,11,0
MEDIUM,24,59,59,1140,7763,16,0
SOFT,2,63,59,1140,7763,13,0
MEDIUM,24,77,60,1140,7763,17,0
MEDIUM,4,62,61,1140,7763,11,7
MEDIUM,44,63,61,1140,7763,13,0
MEDIUM,4,65,63,1140,7763,12,12
HARD,81,70,63,1140,7763,11,0
UNKNOWN,21,65,64,1140,7763,12,0
SOFT,2,66,64,1140,7763,14,0
MEDIUM,44,69,64,1140,7763,14,3
MEDIUM,16,65,65,1140,7763,12,5
MEDIUM,14,66,65,1140,7763,11,5
HARD,20,67,65,1140,7763,9,0
MEDIUM,21,67,66,1140,7763,13,0
MEDIUM,27,68,66,1140,7763,9,23
MEDIUM,16,68,66,1140,7763,13,0
MEDIUM,55,67,67,1140,7763,10,15
MEDIUM,14,68,67,1140,7763,12,7
SOFT,2,69,67,1140,7763,15,0
MEDIUM,21,69,68,1140,7763,14,15
MEDIUM,55,70,68,1140,7763,11,16
MEDIUM,22,71,69,1140,7763,8,0
MEDIUM,14,80,69,1140,7763,13,0
SOFT,2,71,70,1140,7763,16,5
MEDIUM,21,71,70,1140,7763,15,16
MEDIUM,44,72,70,1140,7763,15,9
MEDIUM,81,71,71,1140,7763,12,9
SOFT,2,74,72,1140,7763,17,0
MEDIUM,21,74,72,1140,7763,16,0
MEDIUM,81,74,72,1140,7763,13,9
MEDIUM,22,76,72,1140,7763,9,3
MEDIUM,2,75,75,1140,7763,18,8
